THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         1.132246,         208.9122,               -1,               -1,               -1
    2,         2.196447,         218.5390,               -1,               -1,               -1
    3,         3.122856,         222.1887,               -1,               -1,               -1
    4,         4.022825,         224.8459,               -1,               -1,               -1
    5,         4.766633,         226.8925,               -1,               -1,               -1
    6,         5.218299,         228.3402,               -1,               -1,               -1
    7,         5.422982,         229.6964,               -1,               -1,               -1
    8,         5.501355,         230.8090,               -1,               -1,               -1
    9,         5.508419,         231.7801,               -1,               -1,               -1
   10,         5.492742,         232.5826,         249.7468,         265.5043,           4.2699
