THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.407278,         474.9297,               -1,               -1,               -1
    2,         0.786119,         474.2296,               -1,               -1,               -1
    3,         1.136007,         472.2303,               -1,               -1,               -1
    4,         1.338286,         470.5654,               -1,               -1,               -1
    5,         1.797825,         470.9149,               -1,               -1,               -1
    6,         2.099925,         466.5558,               -1,               -1,               -1
    7,         2.352170,         464.7504,               -1,               -1,               -1
    8,         2.620518,         461.9464,               -1,               -1,               -1
    9,         2.867198,         458.2685,               -1,               -1,               -1
   10,         3.098412,         456.3560,               -1,               -1,               -1
   11,         3.300071,         463.9729,               -1,               -1,               -1
   12,         3.475058,         454.0859,               -1,               -1,               -1
   13,         3.606039,         448.7369,               -1,               -1,               -1
   14,         3.674931,         448.9270,               -1,               -1,               -1
   15,         3.821853,         447.2920,               -1,               -1,               -1
   16,         3.909485,         453.0551,               -1,               -1,               -1
   17,         3.964238,         448.6837,               -1,               -1,               -1
   18,         4.053278,         450.6529,               -1,               -1,               -1
   19,         3.984655,         453.5690,               -1,               -1,               -1
   20,         4.126132,         456.8747,         876.9147,         824.7829,               -1
