  SIZE(KB), Bandwidth(MB/s)
        10,     747032.2800
        15,    1259220.6700
        20,    1614289.0600
        25,    1913105.9700
        30,    2025690.6800
        35,    2335312.0200
        40,    2692043.2700
        45,    3114296.2300
        65,    3769029.0800
        85,    4181113.9400
       105,    4164778.1400
       125,    4682997.6600
       145,    4839435.3700
       165,    4971743.3800
       185,    5074663.4300
       205,    4435527.1600
       225,    5240288.9200
       245,    5303384.1900
       265,    5356286.4800
       285,    5409477.6000
       305,    5457167.6100
       325,    4794507.3600
       345,    5520930.1600
       365,    5553250.1800
       385,    5105146.9800
       405,    5115768.6600
       425,    5189934.2100
       445,    5199730.1000
       465,    5658491.3400
       485,    5678963.5300
       505,    4712701.9600
       525,    4798117.9000
       545,    5039528.6900
       565,    4944283.3100
       585,    4716975.0800
       605,    4564881.2100
       625,    4584007.3500
       645,    4492058.3500
       665,    4210404.9400
       685,    3278859.7800
       705,    2672575.2700
       725,    2287740.7300
       745,    2056278.4300
       765,    2067856.3200
       785,    2027054.8900
       805,    1981876.5100
       855,    2050211.3400
       905,    2015784.3700
       955,    2068422.9800
      1005,    1928322.6100
      1055,    1872428.7800
      1105,    1905813.6100
      1155,    1990451.9400
      1205,    2028683.9100
      1255,    2134274.5500
      1305,    1926591.1300
      1355,    1960180.9300
      1405,    2041312.0300
      1455,    2179518.7700
      1505,    2090844.7100
      1555,    2158616.9100
      1605,    2262389.4100
      1655,    2059932.1400
      1705,    2203890.0100
      1755,    2070729.5700
      1805,    2072445.4900
      1855,    2313754.0100
      1905,    2200238.9900
      1955,    2326023.0200
      2005,    2308875.1000
      2055,    2294532.0900
      2105,    2264781.7900
      2155,    2288474.5100
      2205,    2167669.2000
      2255,    2206779.8700
      2305,    2166470.3400
      2355,    2134611.2300
      2405,    2246024.9600
      2455,    2335183.9600
      2505,    2214353.9700
      2555,    2248329.9500
      2605,    2266292.8800
      2655,    2198968.0000
      2705,    2251544.9100
      2755,    2199763.7900
      2805,    2173340.5500
      2855,    2199646.5400
      2905,    2140528.9900
      2955,    2173403.3400
      3005,    2245172.8000
      3055,    2243044.9800
      3105,    2039021.6400
      3155,    2235135.6300
      3205,    2137785.9800
      3255,    2196501.3800
      3305,    2233865.8500
      3355,    2235512.9200
      3405,    2304203.7900
      3455,    2103383.6300
      3505,    2208205.1700
      3555,    2224217.8700
      3605,    2210773.0500
      3655,    2117099.7500
      3705,    2157761.4100
      3755,    2228428.5600
      3805,    2243780.0100
      3855,    2240509.3400
      3905,    2290820.6200
      3955,    2185414.7900
      4005,    2276818.6800
      4055,    2238537.0300
      4105,    2225131.3600
      4155,    2194948.6000
      4205,    2213516.6300
      4255,    2192969.7700
      4305,    2154405.0200
      4355,    2275755.4400
      4405,    2206375.3800
      4455,    2165598.2100
      4505,    2174264.2500
      4555,    2197926.5200
      4605,    2189913.5400
      4655,    2140980.1200
      4705,    2168464.4700
      4755,    2138942.4600
      4805,    2168055.9800
      4855,    2203933.9200
      4905,    2234409.2900
      4955,    2159469.2200
      5005,    2153514.8400
      5505,    2137476.5500
      6005,    2200946.4800
      6505,    2153634.0200
      7005,    2129165.8000
      7505,    2127616.2000
      8005,    2097505.4600
      8505,    2148890.2900
      9005,    2114281.8200
      9505,    1941063.7100
     10005,    1585436.3100
     10505,    1840842.5800
     11005,    2054636.8100
     11505,    2027465.6300
     12005,    1364390.0400
     12505,    1588958.8400
     13005,    1563910.6700
     13505,    1511958.2900
     14005,    1458491.0200
     14505,    1263405.6700
     15005,    1353005.3400
     15505,    1322333.5800
     16005,     988766.8900
     16505,    1197654.6500
     17005,    1173739.6800
     17505,    1027368.1000
     18005,    1058601.0400
     18505,     940719.1100
     19005,     913409.4900
     19505,     913489.6600
     20005,     792819.7000
     20505,     741581.8700
     21005,     670123.8400
     21505,     617352.0100
     22005,     551352.4400
     22505,     577841.1700
     23005,     526031.1000
     23505,     484140.4500
     24005,     482753.4300
     24505,     446135.5100
     25005,     404476.2100
     25505,     412356.0000
     26005,     371785.8700
     26505,     369161.0100
     27005,     375613.6500
     27505,     357833.8000
     28005,     348136.5800
     28505,     339328.8100
     29005,     324989.6500
     29505,     318762.9800
     30005,     315379.8700
     35005,     279715.1100
     40005,     260592.4100
     45005,     244824.7600
     50005,     229051.7800
     55005,     216870.1800
     60005,     201223.2900
     65005,     187158.0800
     70005,     175942.7500
     75005,     167109.9900
     80005,     160262.0300
     85005,     155263.9500
     90005,     151498.7700
     95005,     148369.0600
    100005,     145530.4600
    150005,     130837.7500
    200005,     124491.1900
    250005,     120850.0500
    300005,     118599.0300
    350005,     116907.9500
    400005,     115787.6900
    450005,     115069.3100
    500005,     114369.2700
    550005,     113872.0000
    600005,     113582.5800
    650005,     113231.5300
    700005,     113113.6700
    750005,     112914.2100
    800005,     112701.2200
    850005,     112708.7900
    900005,     112598.0000
    950005,     112520.3400
   1000005,     112619.3400
   1050005,     112626.3100
   1100005,     112707.1300
   1150005,     112536.5800
   1200005,     112345.6700
   1250005,     112336.6100
   1300005,     112532.7600
   1350005,     112332.7800
   1400005,     112357.4200
   1450005,     112430.4900
   1500005,     112405.1100
   1550005,     112471.9900
   1600005,     112273.1300
   1650005,     112174.8700
   1700005,     112542.0900
   1750005,     112213.5100
   1800005,     112154.6800
   1850005,     112538.2100
   1900005,     112481.6100
   1950005,     112369.8500
