THREAD             spmv         spmv_mkl            spmtv        symm_spmv               gs             kacz
    1         1.359266         1.614098         1.623483         1.799447         1.498120         1.892272
    2         2.589547         3.097814         3.120554         3.481151         2.923421         3.648880
    3         3.805163         4.527656         4.517992         5.038418         4.186589         5.281279
    4         5.119924         6.035655         5.778221         6.509129         5.404863         6.830123
    5         6.005859         7.109713         6.828072         7.719966         6.400502         8.252870
    6         7.141423         8.332249         7.951586         9.225297         7.561396         9.826701
    7         8.224718         9.641970         9.161372        10.460957         8.660320        11.201412
    8         9.196129        10.627959         9.956573        11.571612         9.396746        12.652414
    9        10.265304        11.410167        10.927318        12.706345        10.383934        13.960382
   10        10.836986        11.826518        11.755885        13.686149        11.122723        15.275137
   11        11.408437        12.342085        12.179228        14.180537        11.536265        16.332069
   12        11.618490        12.528756        12.662891        14.847327        11.997704        17.162747
   13        12.296889        13.160072        13.106132        15.218276        12.491325        18.241738
   14        12.442793        13.295844        13.120813        15.649310        12.458418        18.755701
   15        12.543604        13.438386        13.646554        16.381580        13.076032        20.529773
   16        12.671437        13.414283        13.533569        16.553141        13.027504        20.482890
   17        12.835504        13.586799        13.290938        15.920474        12.748018        20.292026
   18        12.970153        13.704494        13.483643        16.768561        12.933366        21.622303
   19        12.971844        13.696662        13.308137        16.938561        12.878024        21.689754
   20        12.894467        13.564782        12.575730        16.290852        12.263792        20.861623
