Counter | 	             Matrix | 	   nnzr| 	 PLAIN_Alpha| 	 PLAIN_Measured_Alpha| 	 
     0 | 	  Anderson-16.5.mtx | 	7.000000 | 	 0.363368 | 	 0.363368 | 	 
     1 | 	       audikw_1.mtx | 	82.284898 | 	 0.062422 | 	 0.062422 | 	 
     2 | 	        bone010.mtx | 	72.632114 | 	 0.049208 | 	 0.049208 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	18.776498 | 	 0.173504 | 	 0.173504 | 	 
     4 | 	     crankseg_1.mtx | 	201.011476 | 	 0.009900 | 	 -0.283887 | 	 
     5 | 	   delaunay_n24.mtx | 	5.999994 | 	 0.406459 | 	 0.406459 | 	 
     6 | 	 dielFilterV3real.mtx | 	80.979395 | 	 0.072827 | 	 0.072827 | 	 
     7 | 	     Emilia_923.mtx | 	44.419464 | 	 0.082650 | 	 0.082650 | 	 
     8 | 	             F1.mtx | 	78.062291 | 	 0.025297 | 	 -0.009181 | 	 
     9 | 	      Fault_639.mtx | 	44.794105 | 	 0.045281 | 	 0.045281 | 	 
    10 | 	      Flan_1565.mtx | 	75.029713 | 	 0.054135 | 	 0.054135 | 	 
    11 | 	 FreeBosonChain-18.mtx | 	12.461538 | 	 0.270760 | 	 0.270760 | 	 
    12 | 	 FreeFermionChain-26.mtx | 	13.520000 | 	 0.387859 | 	 0.387859 | 	 
    13 | 	     G3_circuit.mtx | 	4.831872 | 	 0.342943 | 	 -0.007820 | 	 
    14 | 	       Geo_1438.mtx | 	43.921034 | 	 0.089589 | 	 0.089589 | 	 
    15 | 	  Graphene-4096.mtx | 	12.994629 | 	 0.160392 | 	 0.160392 | 	 
    16 | 	     gsm_106857.mtx | 	36.914194 | 	 0.052751 | 	 0.001382 | 	 
    17 | 	      Hook_1498.mtx | 	40.665227 | 	 0.103075 | 	 0.103075 | 	 
    18 | 	       HPCG-192.mtx | 	26.719725 | 	 0.135801 | 	 0.135801 | 	 
    19 | 	     Hubbard-12.mtx | 	12.998918 | 	 0.142868 | 	 0.034751 | 	 
    20 | 	     Hubbard-14.mtx | 	14.999709 | 	 0.357508 | 	 0.357508 | 	 
    21 | 	       inline_1.mtx | 	73.090063 | 	 0.026994 | 	 0.013709 | 	 
    22 | 	      nlpkkt120.mtx | 	27.339033 | 	 0.160002 | 	 0.160002 | 	 
    23 | 	      nlpkkt200.mtx | 	27.600100 | 	 0.166920 | 	 0.166920 | 	 
    24 | 	       offshore.mtx | 	16.331226 | 	 0.115399 | 	 -0.684128 | 	 
    25 | 	  parabolic_fem.mtx | 	6.988304 | 	 0.250366 | 	 -0.784432 | 	 
    26 | 	           pwtk.mtx | 	53.389000 | 	 0.036772 | 	 -0.216235 | 	 
    27 | 	         Serena.mtx | 	46.380672 | 	 0.100582 | 	 0.100582 | 	 
    28 | 	       ship_003.mtx | 	66.427067 | 	 0.029662 | 	 -0.365559 | 	 
    29 | 	        Spin-26.mtx | 	14.000000 | 	 0.367034 | 	 0.367034 | 	 
    30 | 	       thermal2.mtx | 	6.986970 | 	 0.250408 | 	 -0.123311 | 	 
