THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         1.267231,         129.0426,               -1,               -1,               -1
    2,         2.364738,         137.7325,               -1,               -1,               -1
    3,         3.575350,         146.4435,               -1,               -1,               -1
    4,         4.776922,         150.6624,               -1,               -1,               -1
    5,         5.778310,         153.6111,               -1,               -1,               -1
    6,         6.559662,         155.9005,               -1,               -1,               -1
    7,         6.906615,         157.9565,               -1,               -1,               -1
    8,         7.007137,         159.8642,               -1,               -1,               -1
    9,         7.244380,         161.1385,               -1,               -1,               -1
   10,         7.166185,         162.3469,         189.2699,         216.7828,           2.9635
