THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.293247,         604.7705,               -1,               -1,               -1
    2,         0.561929,         602.1390,               -1,               -1,               -1
    3,         0.784138,         600.7543,               -1,               -1,               -1
    4,         0.967527,         600.1233,               -1,               -1,               -1
    5,         1.136738,         599.5501,               -1,               -1,               -1
    6,         1.274952,         598.8036,               -1,               -1,               -1
    7,         1.360365,         598.6625,               -1,               -1,               -1
    8,         1.430895,         598.5240,               -1,               -1,               -1
    9,         1.478097,         598.2139,               -1,               -1,               -1
   10,         1.516360,         597.6274,         762.3056,         791.2599,        2489.9232
