THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.875282,           6.6940,           9.7035,          11.4424,           0.0048
    2,         1.566616,           7.9062,          10.4930,          12.4393,           0.3875
    3,         2.210666,           8.8681,          11.0513,          13.1581,           0.2883
    4,         2.761077,           9.5692,          11.5399,          13.8588,           0.2556
    5,         3.220749,          10.1804,          12.0160,          14.5069,           0.2320
    6,         3.587831,          10.7370,          12.4604,          15.1605,           0.2176
    7,         3.870066,          11.2759,          12.8881,          15.8146,           0.2358
    8,         4.029137,          11.7918,          13.3388,          16.4409,           0.2315
    9,         4.028887,          11.7834,          13.3322,          16.4408,           0.2646
   10,         4.033026,          11.7836,          13.3267,          16.4412,           0.2888
THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.875351,         133.9206,               -1,               -1,               -1
    2,         1.565206,         158.2583,               -1,               -1,               -1
    3,         2.211177,         177.3089,               -1,               -1,               -1
    4,         2.766558,         191.5124,               -1,               -1,               -1
    5,         3.205927,         203.4056,               -1,               -1,               -1
    6,         3.597623,         214.7389,               -1,               -1,               -1
    7,         3.867249,         225.5269,               -1,               -1,               -1
    8,         4.027098,         235.6914,               -1,               -1,               -1
    9,         4.048826,         235.7317,               -1,               -1,               -1
   10,         4.012663,         235.7638,         266.4649,         328.7983,           6.0033
