THREAD             spmv         spmv_mkl            spmtv        symm_spmv               gs             kacz
    1         1.739211         1.831801         1.828970         2.845836         1.761463         2.527579
    2         3.311944         3.478857         3.504925         5.307193         3.354608         4.607469
    3         4.880523         5.133626         5.131667         7.758509         4.934021         6.606373
    4         6.261622         6.571341         6.656140        10.023251         6.370394         8.609287
    5         7.647620         8.017774         8.099466        12.184701         7.750887        10.383868
    6         9.091952         9.496413         9.487897        14.504735         9.111742        12.112077
    7        10.174491        10.595336        10.775963        16.483207        10.309477        13.841730
    8        11.360782        11.783742        11.930278        18.389294        11.434124        15.568953
    9        12.222740        12.603250        12.639491        19.655169        12.238850        19.821679
   10        12.813903        13.189453        13.231001        20.496104        12.833489        18.342463
   11        13.163021        13.552123        13.530898        21.270776        13.146656        19.990557
   12        13.439643        13.829162        13.834059        21.725758        13.424619        24.536365
   13        13.742668        14.138578        14.117076        22.246860        13.721656        25.361548
   14        13.984166        14.391732        14.360270        22.732698        13.943235        25.966037
   15        14.150571        14.519056        14.537975        22.852987        14.133079        26.673367
   16        14.193460        14.591878        14.614887        23.150549        14.203112        27.134459
   17        14.288286        14.677405        14.772831        23.381370        14.321612        27.598025
   18        14.352773        14.723771        14.762662        23.355301        14.327835        27.822443
   19        14.370311        14.763299        14.776336        23.408212        14.366473        28.061998
   20        14.492887        14.884888        14.844936        23.395538        14.424696        28.052881
