  SIZE(KB), Bandwidth(MB/s)
        12,    1119589.7300
        17,    1121063.3700
        22,    1683629.9400
        27,    1809071.8600
        32,    1982196.6300
        37,    2317919.1100
        42,    2334768.6000
        62,    2978304.2400
        82,    3418842.2800
       102,    3377803.9800
       122,    3679560.7900
       142,    3826440.3800
       162,    4117442.2100
       182,    4216957.8200
       202,    4463515.5300
       222,    4507813.2000
       242,    4654309.7900
       262,    4752676.5800
       282,    4807522.6600
       302,    4894449.3600
       322,    4960105.7100
       342,    4896890.7400
       362,    4932827.2300
       382,    4865281.9300
       402,    5157521.7500
       422,    5199214.6800
       442,    5259419.7200
       462,    5288533.0100
       482,    5300768.7600
       502,    3734100.3800
       522,    3817417.1300
       542,    3714528.7400
       562,    3399972.4600
       582,    3224789.1400
       602,    3327817.9200
       622,    3324647.4300
       642,    2921269.5800
       662,    2887835.7500
       682,    2295060.2900
       702,    1887209.3800
       722,    1621221.3500
       742,    1584116.1800
       762,    1244532.0700
       782,    1080390.0100
       802,    1039039.7500
       852,    1047121.1200
       902,    1123639.8800
       952,    1122840.9400
      1002,    1058787.3700
      1052,    1132352.9000
      1102,    1124946.6300
      1152,    1336147.7700
      1202,    1142580.2800
      1252,    1156683.3600
      1302,    1184976.0500
      1352,    1185073.1300
      1402,    1190865.7000
      1452,    1218091.4100
      1502,    1233819.4900
      1552,    1196747.4900
      1602,    1251158.5300
      1652,    1205390.5900
      1702,    1219968.4700
      1752,    1239841.2800
      1802,    1233961.6100
      1852,    1258325.3500
      1902,    1232438.3900
      1952,    1245816.1400
      2002,    1262054.2600
      2052,    1264003.2700
      2102,    1238809.1300
      2152,    1265525.0100
      2202,    1246696.8800
      2252,    1283284.2800
      2302,    1343490.5400
      2352,    1277029.4800
      2402,    1294224.2600
      2452,    1284585.1100
      2502,    1305538.1400
      2552,    1256975.7300
      2602,    1273388.3000
      2652,    1302934.2100
      2702,    1283299.5600
      2752,    1267948.5300
      2802,    1277448.9100
      2852,    1295567.7800
      2902,    1290388.7700
      2952,    1342068.8100
      3002,    1296897.6700
      3052,    1287155.3500
      3102,    1273832.9000
      3152,    1307971.1400
      3202,    1290510.8000
      3252,    1313827.4300
      3302,    1278913.3800
      3352,    1304911.4000
      3402,    1322132.9900
      3452,    1317145.2700
      3502,    1277771.2800
      3552,    1310564.2000
      3602,    1305670.7500
      3652,    1294368.0400
      3702,    1300323.2700
      3752,    1297591.4200
      3802,    1310522.0100
      3852,    1314287.7100
      3902,    1314404.8800
      3952,    1316373.5400
      4002,    1306366.9300
      4052,    1319172.5900
      4102,    1370417.7700
      4152,    1307663.5200
      4202,    1320033.6700
      4252,    1312666.1700
      4302,    1323203.6000
      4352,    1312341.8400
      4402,    1328390.3400
      4452,    1323784.4500
      4502,    1307695.9600
      4552,    1347711.8500
      4602,    1337676.6400
      4652,    1328227.9400
      4702,    1330375.9800
      4752,    1367847.4900
      4802,    1340473.1500
      4852,    1317409.5700
      4902,    1346615.1000
      4952,    1335474.5900
      5002,    1334241.7900
      5502,    1324623.6700
      6002,    1348208.4100
      6502,    1357744.5500
      7002,    1354765.3200
      7502,    1370872.7800
      8002,    1353095.6300
      8502,    1347595.7200
      9002,    1365089.8400
      9502,    1370645.6300
     10002,    1376651.1300
     10502,    1295186.8300
     11002,    1198610.4200
     11502,    1257217.3100
     12002,    1034031.7200
     12502,    1253150.2400
     13002,    1213881.5300
     13502,    1129939.1100
     14002,    1170375.1300
     14502,    1031485.9800
     15002,    1054367.5300
     15502,    1098881.2700
     16002,    1034102.0400
     16502,     957367.6700
     17002,     986961.7200
     17502,     933582.5300
     18002,     913854.2000
     18502,     856569.9400
     19002,     847942.4400
     19502,     782891.0800
     20002,     717726.7300
     20502,     618356.4000
     21002,     629978.9800
     21502,     575434.4100
     22002,     534705.6200
     22502,     507022.3600
     23002,     485466.5700
     23502,     443123.1800
     24002,     423228.9100
     24502,     410640.0900
     25002,     391822.2000
     25502,     378799.1600
     26002,     363397.9500
     26502,     350400.3700
     27002,     340642.3600
     27502,     335700.7400
     28002,     323276.0500
     28502,     309660.3100
     29002,     305121.7100
     29502,     305968.4200
     30002,     296716.5000
     35002,     257478.8300
     40002,     239132.4800
     45002,     219434.5500
     50002,     187790.9300
     55002,     155589.8800
     60002,     135810.5700
     65002,     120543.4400
     70002,     111486.5000
     75002,     105124.9800
     80002,     100338.2800
     85002,      97001.3200
     90002,      94298.1700
     95002,      92200.7200
    100002,      90354.9200
    150002,      80227.1800
    200002,      75751.5400
    250002,      73462.0100
    300002,      71893.9300
    350002,      70899.5300
    400002,      70232.9700
    450002,      69682.0600
    500002,      69450.7900
    550002,      69090.3200
    600002,      69027.3300
    650002,      68826.0400
    700002,      68643.3900
    750002,      68648.4000
    800002,      68434.4100
    850002,      68475.0300
    900002,      68285.0300
    950002,      68268.4800
   1000002,      68202.0900
   1050002,      68072.8300
   1100002,      68104.5500
   1150002,      68119.9300
   1200002,      68000.0600
   1250002,      68045.8800
   1300002,      67939.3300
   1350002,      67978.3100
   1400002,      67960.0100
   1450002,      67896.6400
   1500002,      67789.4100
   1550002,      67730.7900
   1600002,      67742.1400
   1650002,      67627.6500
   1700002,      67727.7200
   1750002,      67633.5100
   1800002,      67598.1100
   1850002,      67625.0400
   1900002,      67604.1000
   1950002,      67635.9900
