THREAD             spmv         spmv_mkl            spmtv        symm_spmv               gs             kacz
    1         1.619437         2.076812         1.894567         2.542646         1.280790         1.606321
    2         3.131582         4.078717         3.676123         4.797621         2.454413         3.111060
    3         4.445567         5.894526         5.305821         7.015781         3.509716         4.475716
    4         5.712117         7.707456         6.920317         8.974276         4.546461         5.815102
    5         7.014370         9.380490         8.553282        11.147810         5.608137         7.086753
    6         8.281734        11.132723        10.001475        13.244901         6.723830         8.406243
    7         9.419373        12.563517        11.462106        15.340403         7.778437         9.638614
    8        10.668718        14.323871        12.589259        16.820316         8.574147        10.939028
    9        11.579143        15.751893        13.635405        18.321692         9.307240        11.943458
   10        12.689827        16.962658        14.899247        20.167057        10.215973        13.130095
   11        13.824067        18.556205        15.987041        22.140548        11.148784        14.439831
   12        14.523271        19.677892        16.964291        23.032976        11.638768        15.041141
   13        15.089083        21.018666        17.415110        23.451750        11.920869        15.361909
   14        16.031540        21.641549        18.424142        25.183873        12.673630        16.405465
   15        16.869666        22.843748        19.683614        26.692906        13.508923        17.455238
   16        17.341774        23.046970        20.340918        27.568827        13.935388        18.068043
   17        17.876188        24.192565        20.838627        28.097833        14.059377        18.238512
   18        18.472123        24.331239        21.620763        30.163593        14.918156        19.404321
   19        19.396534        24.946470        22.362638        30.631144        15.549057        20.207901
   20        20.235373        26.639886        22.706868        31.407876        16.104919        21.130551
