THREAD             spmv         spmv_mkl            spmtv        symm_spmv               gs             kacz
    1         2.148904         2.199052         2.127182         3.287129         2.165653         3.069876
    2         4.139543         4.216838         4.095368         6.300660         4.151163         5.752040
    3         6.032525         6.224122         5.959339         9.050595         6.044871         8.455544
    4         7.813489         8.060529         7.668136        11.664406         7.760017        10.919705
    5         9.567153         9.905635         9.312930        14.328651         9.348565        13.266715
    6        11.207260        11.614419        11.057501        16.941622        11.054287        15.833164
    7        12.808879        13.306970        12.301869        18.998366        12.243521        17.782516
    8        14.076408        14.726420        13.474391        21.237560        13.461287        19.577098
    9        15.329798        15.999023        14.757380        23.218069        14.627841        21.459552
   10        16.636225        17.268861        16.272465        24.874801        16.022574        23.630475
   11        17.611853        18.157428        17.312403        27.828762        17.127568        26.072845
   12        18.341816        18.926828        18.046680        29.267030        17.880186        27.310151
   13        18.779306        19.517721        18.306101        29.348801        18.229110        27.529806
   14        19.031058        19.926006        19.120423        31.748683        19.063475        29.369763
   15        19.429456        20.305752        19.098928        32.996997        19.045428        30.444599
   16        19.619657        20.243409        19.217072        33.449553        19.032034        31.355428
   17        19.727969        20.368298        19.915927        34.857161        19.768361        33.296452
   18        19.836717        20.612224        19.701370        36.320354        19.651193        33.480421
   19        19.779643        20.467936        19.898798        37.855001        19.798524        35.200341
   20        19.784031        20.447169        19.569337        38.039835        19.466233        35.227766
