THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.304627,                 ,                 ,                 ,                 
    2,         0.603032,                 ,                 ,                 ,                 
    3,         0.776184,                 ,                 ,                 ,                 
    4,         0.965052,                 ,                 ,                 ,                 
    5,         1.122220,                 ,                 ,                 ,                 
    6,         1.263476,                 ,                 ,                 ,                 
    7,         1.335111,                 ,                 ,                 ,                 
    8,         1.418656,                 ,                 ,                 ,                 
    9,         1.462169,                 ,                 ,                 ,                 
   10,         1.511240,         626.4535,         804.9989,         965.4513,         422.2731
