THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.284123,         466.9288,         778.5608,         818.0283,           0.1657
    2,         0.497941,         458.3022,         778.6079,         817.3945,          11.9604
    3,         0.650794,         463.0296,         778.4311,         816.8230,          12.3417
    4,         0.812173,         445.3075,         778.6331,         817.3473,          10.5483
    5,         0.928071,         585.5391,         778.6909,         817.0537,           9.9551
    6,         1.087269,         530.4738,         778.6928,         817.1209,           8.6045
    7,         1.194864,         537.1375,         778.8491,         817.0902,           8.7910
    8,         1.293278,         546.7239,         778.8259,         816.9520,           8.5306
    9,         1.392069,         556.0035,         778.9993,         817.4731,           8.1650
   10,         1.488417,         543.0252,         779.0814,         817.3136,           7.5075
