THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         1.585016,         219.2578,               -1,               -1,               -1
    2,         3.139858,         219.8993,               -1,               -1,               -1
    3,         4.547512,         221.3354,               -1,               -1,               -1
    4,         5.983930,         222.0859,               -1,               -1,               -1
    5,         7.343354,         223.4381,               -1,               -1,               -1
    6,         8.681998,         224.4781,               -1,               -1,               -1
    7,         9.908083,         225.0509,               -1,               -1,               -1
    8,        11.048200,         225.7835,               -1,               -1,               -1
    9,        11.921988,         226.4524,               -1,               -1,               -1
   10,        12.469238,         226.8380,               -1,               -1,               -1
   11,        12.851061,         227.6643,               -1,               -1,               -1
   12,        13.138192,         228.0208,               -1,               -1,               -1
   13,        13.333377,         228.5533,               -1,               -1,               -1
   14,        13.350383,         229.1340,               -1,               -1,               -1
   15,        13.419986,         229.6555,               -1,               -1,               -1
   16,        13.394798,         231.0179,               -1,               -1,               -1
   17,        13.335832,         231.4148,               -1,               -1,               -1
   18,        13.276473,         232.5223,               -1,               -1,               -1
   19,        13.226763,         233.3711,               -1,               -1,               -1
   20,        13.247227,         233.6438,         443.3711,         265.6269,               -1
