THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         1.287154,         217.8567,               -1,               -1,               -1
    2,         2.430551,         220.7520,               -1,               -1,               -1
    3,         3.693729,         222.9911,               -1,               -1,               -1
    4,         4.861332,         224.9548,               -1,               -1,               -1
    5,         6.033430,         228.2035,               -1,               -1,               -1
    6,         6.836607,         230.0400,               -1,               -1,               -1
    7,         7.900297,         232.3098,               -1,               -1,               -1
    8,         8.516044,         234.8906,               -1,               -1,               -1
    9,         8.487371,         238.0172,               -1,               -1,               -1
   10,        10.079175,         239.1297,               -1,               -1,               -1
   11,        10.352807,         241.2757,               -1,               -1,               -1
   12,        10.455226,         243.2844,               -1,               -1,               -1
   13,        10.810528,         245.1766,               -1,               -1,               -1
   14,        11.142716,         246.8664,               -1,               -1,               -1
   15,        10.959053,         246.7560,               -1,               -1,               -1
   16,        11.194676,         247.4079,               -1,               -1,               -1
   17,        11.498946,         247.8913,               -1,               -1,               -1
   18,        11.709155,         247.9287,               -1,               -1,               -1
   19,        11.159461,         248.5350,               -1,               -1,               -1
   20,        11.451396,         250.5746,         447.1826,         337.4679,               -1
