  THREAD 	    eps_1 	    eps_2 	      Eff 	 maxDepth 	       Time
       1 	       70 	       50 	 1.000000 	        1 	 92607.047380
       2 	       70 	       50 	 0.979238 	        1 	 91361.162664
       3 	       70 	       50 	 0.972900 	        1 	 88887.390930
       4 	       70 	       50 	 0.969714 	        1 	 88578.417876
       5 	       70 	       50 	 0.978490 	        1 	 88772.679907
       6 	       70 	       50 	 0.973458 	        1 	 88530.732596
       7 	       70 	       50 	 0.957651 	        1 	 88022.382121
       8 	       70 	       50 	 0.947411 	        1 	 88192.397569
       9 	       70 	       50 	 0.959621 	        1 	 88059.860728
      10 	       70 	       50 	 0.944448 	        1 	 88602.651090
      11 	       70 	       50 	 0.921072 	        1 	 87975.677809
      12 	       70 	       50 	 0.914928 	        1 	 88510.392572
      13 	       70 	       50 	 0.910325 	        1 	 87896.914186
      14 	       70 	       50 	 0.892081 	        1 	 87918.801796
      15 	       70 	       50 	 0.934279 	        1 	 88546.485374
      16 	       70 	       50 	 0.913634 	        1 	 88942.155241
      17 	       70 	       50 	 0.907452 	        1 	 87902.352921
      18 	       70 	       50 	 0.893829 	        1 	 87789.605657
      19 	       70 	       50 	 0.868165 	        1 	 88052.308004
      20 	       70 	       50 	 0.871052 	        1 	 87766.882615
      25 	       70 	       50 	 0.878504 	        1 	 89214.998403
      30 	       70 	       50 	 0.795565 	        2 	 90187.668736
      35 	       70 	       50 	 0.835905 	        2 	 91425.672665
      40 	       70 	       50 	 0.807852 	        2 	 92815.657847
      45 	       70 	       50 	 0.806049 	        2 	 95455.924945
      50 	       70 	       50 	 0.758545 	        2 	 96651.227557
      60 	       70 	       50 	 0.774322 	        2 	 100605.947117
      70 	       70 	       50 	 0.741233 	        2 	 106899.224669
      80 	       70 	       50 	 0.748502 	        2 	 109670.153746
      90 	       70 	       50 	 0.746539 	        2 	 115996.082939
     100 	       70 	       50 	 0.730971 	        2 	 117252.233138
     120 	       70 	       50 	 0.626040 	        3 	 129707.230630
     140 	       70 	       50 	 0.631218 	        3 	 135408.769793
     160 	       70 	       50 	 0.583000 	        3 	 138305.274547
     180 	       70 	       50 	 0.642424 	        3 	 143333.149247
     200 	       70 	       50 	 0.539537 	        3 	 145582.479156
