Counter | 	             Matrix | 	PLAIN_SPMV| 	 RACE SPMTV| 	 RACE SYMM_SPMV| 	 
     0 | 	  Anderson-16.5.mtx | 	3.895646 | 	 3.26402 | 	 4.332372 | 	 
     1 | 	       audikw_1.mtx | 	6.587033 | 	 6.119766 | 	 11.044719 | 	 
     2 | 	        bone010.mtx | 	6.544692 | 	 6.095754 | 	 10.951756 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	4.767858 | 	 3.893652 | 	 5.981806 | 	 
     4 | 	     crankseg_1.mtx | 	7.311032 | 	 4.722597 | 	 8.201395 | 	 
     5 | 	   delaunay_n24.mtx | 	3.690246 | 	 3.28401 | 	 4.2621 | 	 
     6 | 	 dielFilterV3real.mtx | 	6.508075 | 	 5.953739 | 	 10.693218 | 	 
     7 | 	     Emilia_923.mtx | 	6.282051 | 	 5.840122 | 	 10.380974 | 	 
     8 | 	             F1.mtx | 	6.877501 | 	 6.504894 | 	 11.207095 | 	 
     9 | 	      Fault_639.mtx | 	6.469781 | 	 6.23758 | 	 10.844468 | 	 
    10 | 	      Flan_1565.mtx | 	6.512877 | 	 6.010746 | 	 10.695511 | 	 
    11 | 	     G3_circuit.mtx | 	3.709023 | 	 3.653638 | 	 4.527877 | 	 
    12 | 	       Geo_1438.mtx | 	6.188784 | 	 5.519185 | 	 9.703719 | 	 
    13 | 	  Graphene-4096.mtx | 	5.313511 | 	 4.584342 | 	 6.654467 | 	 
    14 | 	 Graphene-short-4096.mtx | 	3.345015 | 	 2.673273 | 	 3.409626 | 	 
    15 | 	     gsm_106857.mtx | 	6.437767 | 	 6.272324 | 	 10.231921 | 	 
    16 | 	      Hook_1498.mtx | 	6.126753 | 	 5.494647 | 	 9.393211 | 	 
    17 | 	       HPCG-192.mtx | 	5.290584 | 	 4.385845 | 	 6.618523 | 	 
    18 | 	       inline_1.mtx | 	6.817051 | 	 6.507373 | 	 11.266553 | 	 
    19 | 	      nlpkkt120.mtx | 	5.12094 | 	 4.117523 | 	 6.481429 | 	 
    20 | 	      nlpkkt200.mtx | 	4.77615 | 	 3.957661 | 	 5.997536 | 	 
    21 | 	       offshore.mtx | 	6.106672 | 	 5.453994 | 	 8.460706 | 	 
    22 | 	  parabolic_fem.mtx | 	4.97789 | 	 5.578089 | 	 8.153885 | 	 
    23 | 	           pwtk.mtx | 	7.089593 | 	 6.889464 | 	 12.241446 | 	 
    24 | 	         Serena.mtx | 	6.229708 | 	 5.581201 | 	 9.612898 | 	 
    25 | 	       ship_003.mtx | 	7.224258 | 	 6.331819 | 	 11.278229 | 	 
    26 | 	        Spin-26.mtx | 	2.13881 | 	 1.57775 | 	 2.128258 | 	 
    27 | 	       thermal2.mtx | 	4.205881 | 	 4.598934 | 	 5.708837 | 	 
