Counter | 	             Matrix | 	RSB_SpMV| 	 RSB_SpMTV| 	 RSB_SymmSpMV| 	 
     0 | 	  Anderson-16.5.mtx | 	4.572568 | 	 4.488928 | 	 6.122011 | 	 
     1 | 	       audikw_1.mtx | 	7.684447 | 	 7.831277 | 	 12.895039 | 	 
     2 | 	        bone010.mtx | 	7.888503 | 	 7.960970 | 	 13.703456 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	6.980666 | 	 6.983540 | 	 10.018854 | 	 
     4 | 	     crankseg_1.mtx | 	7.110443 | 	 7.008920 | 	 9.829810 | 	 
     5 | 	   delaunay_n24.mtx | 	4.774581 | 	 4.848436 | 	 6.885692 | 	 
     6 | 	 dielFilterV3real.mtx | 	7.823720 | 	 7.878009 | 	 13.139291 | 	 
     7 | 	     Emilia_923.mtx | 	7.603086 | 	 7.356756 | 	 11.633707 | 	 
     8 | 	             F1.mtx | 	7.352354 | 	 7.215686 | 	 12.410470 | 	 
     9 | 	      Fault_639.mtx | 	6.980943 | 	 7.065528 | 	 11.164475 | 	 
    10 | 	      Flan_1565.mtx | 	7.850919 | 	 7.948701 | 	 13.562491 | 	 
    11 | 	     G3_circuit.mtx | 	4.550626 | 	 4.520547 | 	 3.552169 | 	 
    12 | 	       Geo_1438.mtx | 	6.984105 | 	 7.173056 | 	 11.249399 | 	 
    13 | 	  Graphene-4096.mtx | 	6.032080 | 	 6.061151 | 	 9.804079 | 	 
    14 | 	 Graphene-short-4096.mtx | 	4.357845 | 	 4.357739 | 	 5.174290 | 	 
    15 | 	     gsm_106857.mtx | 	6.895208 | 	 6.949397 | 	 10.853765 | 	 
    16 | 	      Hook_1498.mtx | 	7.162519 | 	 7.286094 | 	 11.656714 | 	 
    17 | 	       HPCG-192.mtx | 	6.169716 | 	 6.186877 | 	 9.567151 | 	 
    18 | 	       inline_1.mtx | 	8.269439 | 	 8.174075 | 	 13.667295 | 	 
    19 | 	      nlpkkt120.mtx | 	6.157445 | 	 6.180707 | 	 9.530124 | 	 
    20 | 	      nlpkkt200.mtx | 	5.905249 | 	 5.928519 | 	 8.949014 | 	 
    21 | 	       offshore.mtx | 	3.463748 | 	 3.730638 | 	 4.443132 | 	 
    22 | 	  parabolic_fem.mtx | 	3.931139 | 	 3.855406 | 	 5.114396 | 	 
    23 | 	           pwtk.mtx | 	7.629783 | 	 7.694674 | 	 12.824990 | 	 
    24 | 	         Serena.mtx | 	6.260884 | 	 6.311689 | 	 9.258430 | 	 
    25 | 	       ship_003.mtx | 	7.770080 | 	 7.408663 | 	 8.642974 | 	 
    26 | 	        Spin-26.mtx | 	4.486763 | 	 4.511804 | 	 6.466166 | 	 
    27 | 	       thermal2.mtx | 	5.177848 | 	 5.272333 | 	 7.086881 | 	 
