Counter | 	             Matrix | 	MKL_SPMV| 	 MKL_SPMTV| 	 SYMM SPMV MKL| 	 PLAIN_SPMV| 	 
     0 | 	  Anderson-16.5.mtx | 	13.180425 | 	 3.642465 | 	 4.589667 | 	 12.632015 | 	 
     1 | 	       audikw_1.mtx | 	17.257002 | 	 10.136055 | 	 13.275046 | 	 17.155199 | 	 
     2 | 	        bone010.mtx | 	17.248342 | 	 10.036258 | 	 13.198980 | 	 17.071664 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	14.979805 | 	 3.101048 | 	 8.535902 | 	 14.707433 | 	 
     4 | 	     crankseg_1.mtx | 	20.929816 | 	 10.235113 | 	 14.632991 | 	 20.984636 | 	 
     5 | 	   delaunay_n24.mtx | 	10.461543 | 	 1.152373 | 	 3.271750 | 	 10.385202 | 	 
     6 | 	 dielFilterV3real.mtx | 	17.231437 | 	 10.292396 | 	 12.808297 | 	 17.135217 | 	 
     7 | 	     Emilia_923.mtx | 	16.865151 | 	 9.247793 | 	 11.637173 | 	 16.733567 | 	 
     8 | 	             F1.mtx | 	18.352351 | 	 10.593331 | 	 13.331976 | 	 18.265801 | 	 
     9 | 	      Fault_639.mtx | 	17.554796 | 	 9.444460 | 	 11.446922 | 	 17.410587 | 	 
    10 | 	      Flan_1565.mtx | 	17.605660 | 	 10.237469 | 	 13.180780 | 	 17.519704 | 	 
    11 | 	     G3_circuit.mtx | 	14.566514 | 	 2.890229 | 	 3.927535 | 	 13.765128 | 	 
    12 | 	       Geo_1438.mtx | 	16.996224 | 	 9.024846 | 	 11.017262 | 	 16.807715 | 	 
    13 | 	  Graphene-4096.mtx | 	14.860118 | 	 2.472010 | 	 7.079533 | 	 14.509099 | 	 
    14 | 	 Graphene-short-4096.mtx | 	10.794296 | 	 0.895432 | 	 3.059906 | 	 10.237914 | 	 
    15 | 	     gsm_106857.mtx | 	17.902683 | 	 8.762353 | 	 10.339662 | 	 17.726611 | 	 
    16 | 	      Hook_1498.mtx | 	16.676041 | 	 8.514268 | 	 10.559251 | 	 16.542968 | 	 
    17 | 	       HPCG-192.mtx | 	16.001894 | 	 3.949894 | 	 10.356665 | 	 15.810535 | 	 
    18 | 	       inline_1.mtx | 	17.607485 | 	 10.257575 | 	 13.325569 | 	 17.456410 | 	 
    19 | 	      nlpkkt120.mtx | 	15.616247 | 	 3.951075 | 	 10.494941 | 	 15.432208 | 	 
    20 | 	      nlpkkt200.mtx | 	15.547540 | 	 3.939894 | 	 10.368500 | 	 15.398405 | 	 
    21 | 	       offshore.mtx | 	24.466454 | 	 6.547117 | 	 6.880652 | 	 24.234841 | 	 
    22 | 	  parabolic_fem.mtx | 	23.879831 | 	 4.586799 | 	 6.145878 | 	 23.022167 | 	 
    23 | 	           pwtk.mtx | 	19.912094 | 	 10.578470 | 	 9.998300 | 	 19.757997 | 	 
    24 | 	         Serena.mtx | 	16.890168 | 	 8.753828 | 	 10.476069 | 	 16.747356 | 	 
    25 | 	       ship_003.mtx | 	22.524163 | 	 10.802796 | 	 12.267928 | 	 22.491958 | 	 
    26 | 	        Spin-26.mtx | 	13.160505 | 	 2.469138 | 	 6.187077 | 	 12.912383 | 	 
    27 | 	       thermal2.mtx | 	15.033728 | 	 3.351436 | 	 4.394268 | 	 14.887237 | 	 
