Counter | 	             Matrix | 	RSB_SpMV| 	 RSB_SpMTV| 	 RSB_SymmSpMV| 	 
     0 | 	  Anderson-16.5.mtx | 	8.633635 | 	 8.933549 | 	 11.989002 | 	 
     1 | 	       audikw_1.mtx | 	12.663448 | 	 14.731659 | 	 22.073317 | 	 
     2 | 	        bone010.mtx | 	13.544142 | 	 15.241016 | 	 24.026902 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	11.235471 | 	 11.424329 | 	 22.047775 | 	 
     4 | 	     crankseg_1.mtx | 	8.024535 | 	 9.893504 | 	 14.799869 | 	 
     5 | 	   delaunay_n24.mtx | 	8.507591 | 	 8.502748 | 	 11.101159 | 	 
     6 | 	 dielFilterV3real.mtx | 	12.719426 | 	 15.045972 | 	 22.743862 | 	 
     7 | 	     Emilia_923.mtx | 	12.028136 | 	 14.134045 | 	 20.351504 | 	 
     8 | 	             F1.mtx | 	10.948033 | 	 13.395264 | 	 19.498048 | 	 
     9 | 	      Fault_639.mtx | 	10.823052 | 	 12.781536 | 	 17.047021 | 	 
    10 | 	      Flan_1565.mtx | 	14.110716 | 	 15.758597 | 	 24.667225 | 	 
    11 | 	 FreeBosonChain-18.mtx | 	9.077479 | 	 9.790518 | 	 11.302683 | 	 
    12 | 	 FreeFermionChain-26.mtx | 	9.901242 | 	 10.382980 | 	 11.883824 | 	 
    13 | 	     G3_circuit.mtx | 	8.068473 | 	 8.783502 | 	 9.070211 | 	 
    14 | 	       Geo_1438.mtx | 	11.776199 | 	 13.730664 | 	 19.478608 | 	 
    15 | 	  Graphene-4096.mtx | 	11.864904 | 	 10.813192 | 	 20.801896 | 	 
    16 | 	     gsm_106857.mtx | 	10.566378 | 	 11.870595 | 	 16.887582 | 	 
    17 | 	      Hook_1498.mtx | 	12.226029 | 	 13.770715 | 	 20.040225 | 	 
    18 | 	       HPCG-192.mtx | 	13.546148 | 	 13.925021 | 	 21.700950 | 	 
    19 | 	     Hubbard-12.mtx | 	5.716523 | 	 6.660099 | 	 11.340355 | 	 
    20 | 	     Hubbard-14.mtx | 	10.409105 | 	 10.401211 | 	 14.340057 | 	 
    21 | 	       inline_1.mtx | 	14.022726 | 	 15.209879 | 	 25.804495 | 	 
    22 | 	      nlpkkt120.mtx | 	11.555524 | 	 12.650448 | 	 17.463520 | 	 
    23 | 	      nlpkkt200.mtx | 	12.516874 | 	 12.766422 | 	 20.929050 | 	 
    24 | 	       offshore.mtx | 	4.085323 | 	 4.268761 | 	 5.855544 | 	 
    25 | 	  parabolic_fem.mtx | 	4.332856 | 	 5.663319 | 	 10.812407 | 	 
    26 | 	           pwtk.mtx | 	9.441347 | 	 10.813871 | 	 20.209989 | 	 
    27 | 	         Serena.mtx | 	11.570462 | 	 13.406562 | 	 19.857215 | 	 
    28 | 	       ship_003.mtx | 	8.630246 | 	 10.773952 | 	 15.488695 | 	 
    29 | 	        Spin-26.mtx | 	10.099417 | 	 10.190622 | 	 14.499154 | 	 
    30 | 	       thermal2.mtx | 	7.465591 | 	 8.459897 | 	 13.623255 | 	 
