THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.260639,          35.6692,          58.3772,          68.0652,           0.0137
    2,         0.497225,          35.6885,          58.5300,          68.0823,           2.8276
    3,         0.662441,          37.3478,          58.6853,          68.0785,           7.9400
    4,         0.792049,          40.9482,          58.8111,          68.0619,          11.7453
    5,         0.885597,          43.7872,          58.8964,          68.1020,          13.6439
    6,         0.932754,          45.8455,          58.9500,          68.0739,          18.5547
    7,         0.953208,          47.3229,          58.9991,          68.1012,          22.0806
    8,         0.979341,          48.1798,          59.0223,          68.0872,          26.1231
    9,         0.991332,          48.8227,          59.0462,          68.1237,          29.2637
   10,         1.004271,          49.2709,          59.0522,          68.1063,          33.4625
