THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.321719,          21.2634,          39.8921,          48.2752,           0.0129
    2,         0.615581,          22.5960,          39.9362,          48.2639,           2.3293
    3,         0.783766,          24.8780,          39.9635,          48.2840,           4.6938
    4,         0.986437,          26.8030,          39.9873,          48.2398,           7.1017
    5,         1.139464,          28.1233,          40.0082,          48.2434,           8.7502
    6,         1.276117,          29.1256,          40.0244,          48.2350,          11.5296
    7,         1.358737,          29.9824,          40.0426,          48.2433,          13.2334
    8,         1.441125,          30.4814,          40.0567,          48.2394,          16.0845
    9,         1.473558,          30.9934,          40.0691,          48.2553,          18.4042
   10,         1.511011,          31.3470,          40.0802,          48.2585,          20.8408
