THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.976312,          10.4550,          12.5210,          13.2767,           0.0099
    2,         1.931113,          11.1012,          12.5183,          13.2783,           0.3639
    3,         2.781831,          11.3767,          12.5133,          13.2769,           0.2738
    4,         3.655192,          11.6011,          12.5079,          13.2765,           0.2558
    5,         4.435455,          11.7960,          12.5042,          13.2778,           0.3056
    6,         5.064188,          11.9974,          12.4995,          13.2762,           0.3233
    7,         5.368088,          12.1505,          12.5007,          13.2758,           0.3698
    8,         5.486145,          12.3220,          12.4988,          13.2761,           0.4230
    9,         5.508383,          12.5332,          12.4995,          13.2786,           0.5140
   10,         5.490675,          12.6712,          12.4974,          13.2778,           0.6952
